scenario_id,U_max,U_mean,U_min,U_std,U_at_0,U_trend,U_persistence_high,U_max_gradient,U_integral,U_x_mean,U_y_mean,U_x_max,U_y_max,U_x_std,U_y_std,DU_dominant,DU_spread,Wind_veering,U_vector_magnitude,Onshore_wind_mean,Onshore_wind_max,S_max,S_mean,Hs_mean,Hs_max,Tp_mean,Tp_max,Tp_p90,Tp_std,sinDp_mean,cosDp_mean,Dp_concentration,Tp_max_x_sinDp_mean,Tp_max_x_cosDp_mean,NMmax,NMmean,NMrange,NMslope,Tmax,T_integral,Tslopemax,T_skewness,Tstd
1,17.05,16.75702702702703,16.48,0.1492841452609638,16.55,0.0799999999999983,100.0,0.0800000000000018,6032.8,4.24394438812059,-15.39139359937244,12.040940950970828,-11.672559317272016,4.795642052701714,1.7076290412839397,285.415390168832,0.311031027284982,46.69999999999999,15.965777804424786,15.39139359937244,16.780671711883038,0.51,0.4735135135135135,6.789189189189189,6.91,18.943243243243245,20.14,19.97,0.787363215247332,-0.8332667416601715,-0.5444746300980103,0.995382381588766,-16.781992177035853,-10.965719050173927,0.86,0.8599999999999999,0.0,0.0,2.21,53.37500000000001,0.2,-0.560856534416796,0.6547740062567693
2,10.08,9.797567567567564,9.32,0.2074609100973183,10.08,-0.5600000000000005,0.0,0.1099999999999994,3529.1,-0.0196030609141094,-7.932372970434026,9.02723131297283,-4.015407180110488,5.487721107872335,1.7312891411931126,269.8584067625622,0.6498905497941323,-121.32999999999998,7.932397192656802,7.932372970434026,10.077862363109666,0.59,0.5775675675675676,8.744864864864866,8.81,10.575945945945945,11.02,10.868,0.1937881186141118,-0.9832045733043816,-0.1618926068226368,0.9964439016374578,-10.834914397814284,-1.7840565271854574,1.85,1.85,0.0,0.0,1.85,45.05,0.18,-0.6018641377205171,0.5496376387824972
3,20.9,20.51891891891892,19.86,0.3027422754055834,20.75,-0.2600000000000015,100.0,0.1799999999999997,7392.1,1.8242777465754696,-20.363685939541696,5.876072993095323,-18.970802992488636,1.7044463406013288,0.4526089013249469,275.1191684525889,0.0848223404147769,16.21999999999997,20.445236470653462,20.363685939541693,20.78770107155167,0.59,0.4937837837837838,5.189459459459459,5.95,25.194324324324324,26.66,26.616,1.0804417028197824,-0.9390443713182532,-0.333688197863263,0.9965701905524396,-25.034922939344632,-8.896127355034592,1.94,1.94,0.0,0.0,1.93,45.19500000000001,0.19,-0.5469874020086497,0.6027193065219881
4,15.36,14.519459459459457,13.96,0.3987544522902903,14.1,-1.3999999999999986,0.0,0.1499999999999985,5225.6,5.730026881228347,-12.766768922229929,10.735330759315737,-10.985548392687978,3.7021436905878,1.2017667948207285,294.1716673157708,0.2715977269384771,-46.96999999999997,13.993698466567563,12.766768922229923,14.29347594171632,0.24,0.0467567567567567,5.896756756756757,6.62,10.25945945945946,11.82,11.488,0.7149709725574234,-0.940321978713704,-0.3394206764289941,0.9997058663624871,-11.11460578839598,-4.01195239539071,1.83,1.83,0.0,0.0,2.44,60.16499999999999,0.22,-0.5828723601631146,0.7009940765784692
5,14.26,13.583513513513514,12.41,0.5187365952222673,14.19,-0.7300000000000004,0.0,0.1500000000000003,4898.150000000001,-2.4160530319522526,-12.68757803654657,4.693014664121067,-10.987542485270184,4.104324363609182,1.0599527624599367,259.2184410232234,0.3175633941239436,55.48000000000002,12.915570010133685,12.68757803654657,14.048095092904562,0.33,0.294054054054054,1.1178378378378375,1.15,14.097567567567568,15.39,15.296,0.9018671484995624,-0.8922545946170484,-0.4068148588400467,0.9806205132406116,-13.731798211156375,-6.26088067754832,0.46,0.4600000000000001,0.0,0.0,2.16,51.365,0.1999999999999999,-0.5315832332896655,0.6599769790349503
6,8.81,8.230540540540542,7.84,0.2716013169767253,8.09,0.4199999999999999,0.0,0.129999999999999,2959.3,0.181001825802326,-7.900557341094729,2.828229218169657,-7.322208741148784,2.295135956309158,0.3103994942846136,271.3124171395576,0.2851526607348581,-42.44,7.902630445672479,7.900557341094729,8.321323352622429,0.2,0.1856756756756756,1.6197297297297295,1.79,9.554054054054054,9.76,9.71,0.1267570448910458,-0.9772091617982672,-0.2054378102035082,0.9985701977145548,-9.53756141915109,-2.0050730275862403,1.38,1.3800000000000003,0.0,0.0,2.21,54.32,0.2,-0.5647095498628566,0.6400853668413393
7,7.49,7.102972972972973,6.92,0.148921616692099,7.0,-0.4400000000000004,0.0,0.0899999999999998,2555.4,-1.0192098349685053,6.87568590712914,1.564929819114064,7.324690755332107,1.4381793555480664,0.3036403510524748,98.43177745938904,0.2081073678399725,43.96000000000001,6.950816166551292,-6.87568590712914,-5.985250397785447,0.36,0.3572972972972972,3.6072972972972974,3.71,10.898108108108108,11.61,11.534,0.4188132386317048,-0.9894987293395326,0.0919000438941505,0.9937571903801736,-11.488080247631974,1.066959509611088,1.9,1.9000000000000004,0.0,0.0,1.83,45.895,0.16,-0.5948197990412036,0.5087338010694993
8,15.3,15.009729729729727,14.8,0.1407026092554019,14.96,0.1500000000000003,0.0,0.08,5401.85,-14.3073797598178,-4.389929590615203,-13.827678727123777,-2.0552810633180325,0.40046107363936,1.0857335354866535,197.0575707548253,0.0766392040188144,-8.26000000000002,14.965714062556556,4.389929590615206,5.7740962691411895,0.46,0.4237837837837838,4.093243243243243,4.27,9.963783783783782,10.29,10.14,0.1865526713732444,-0.9526736518725782,-0.2936813548505735,0.9969131482526966,-9.80301187776883,-3.021981141412401,1.36,1.36,0.0,0.0,2.42,59.51000000000001,0.22,-0.5599528801798882,0.699735627839391
9,9.02,8.295945945945943,7.44,0.5639985598000564,8.53,1.0300000000000011,0.0,0.1499999999999994,2988.3500000000004,-6.667284791766653,-4.913823955780432,-6.340591661774492,-3.789503292422168,0.2896793095775201,0.6771610208743984,216.3904099407528,0.0571436264891286,3.1200000000000045,8.282412230921892,4.913823955780434,5.819425362431741,0.32,0.2740540540540541,4.156756756756757,4.32,7.467297297297298,7.85,7.803999999999999,0.3517573537804736,-0.9860846102526456,-0.1629193514478398,0.9994526370235344,-7.740764190483267,-1.2789169088655423,1.87,1.8700000000000003,0.0,0.0,1.85,43.18499999999999,0.18,-0.5641136329863423,0.5847574462978051
10,31.52,30.81324324324324,29.25,0.697582908194931,31.26,-1.8200000000000005,100.0,0.1899999999999977,11099.299999999996,1.9011430793757405,-30.69726276870889,5.082493138853887,-28.84885384496401,1.8116188689072288,0.8510767623903265,273.54391623448964,0.060942018614636,5.199999999999989,30.756077228727,30.69726276870889,31.51331564337467,0.19,0.1721621621621621,4.937027027027026,5.09,20.655405405405407,20.87,20.816,0.1154449580932834,-0.9802756605387042,-0.1686175970188754,0.9946719382133048,-20.45835303544276,-3.51904924978393,0.95,0.9500000000000002,0.0,0.0,2.25,56.77,0.21,-0.6083076474869782,0.6188213070671943
